gisjoin,year,state,district,district_code,median_household_income,income_moe
G48007380,2020-2024,Texas,Abbott ISD,7380,88750.0,26095.0
G48007410,2020-2024,Texas,Abernathy ISD,7410,83073.0,12492.0
G48007440,2020-2024,Texas,Abilene ISD,7440,58822.0,1489.0
G48007470,2020-2024,Texas,Academy ISD,7470,95390.0,4391.0
G48007500,2020-2024,Texas,Adrian ISD,7500,73125.0,24647.0
G48007530,2020-2024,Texas,Agua Dulce ISD,7530,56786.0,24731.0
G48007590,2020-2024,Texas,Alamo Heights ISD,7590,100268.0,10037.0
G48007650,2020-2024,Texas,Alba-Golden ISD,7650,66000.0,14631.0
G48007680,2020-2024,Texas,Albany ISD,7680,75057.0,12523.0
G48007710,2020-2024,Texas,Aldine ISD,7710,52455.0,1482.0
G48007780,2020-2024,Texas,Aledo ISD,7780,156900.0,10109.0
G48007800,2020-2024,Texas,Alice ISD,7800,49032.0,5774.0
G48007830,2020-2024,Texas,Alief ISD,7830,51986.0,1770.0
G48007890,2020-2024,Texas,Allen ISD,7890,127415.0,8544.0
G48007950,2020-2024,Texas,Alpine ISD,7950,66613.0,14693.0
G48007980,2020-2024,Texas,Alto ISD,7980,62955.0,26920.0
G48000011,2020-2024,Texas,Alvarado ISD,11,80826.0,10732.0
G48008090,2020-2024,Texas,Alvin ISD,8090,107257.0,7261.0
G48008100,2020-2024,Texas,Alvord ISD,8100,86250.0,26349.0
G48008130,2020-2024,Texas,Amarillo ISD,8130,60371.0,2660.0
G48008160,2020-2024,Texas,Amherst ISD,8160,64583.0,12768.0
G48008190,2020-2024,Texas,Anahuac ISD,8190,75500.0,16880.0
G48008230,2020-2024,Texas,Anderson-Shiro CISD,8230,99063.0,33249.0
G48008280,2020-2024,Texas,Andrews ISD,8280,72242.0,9282.0
G48008310,2020-2024,Texas,Angleton ISD,8310,86569.0,9989.0
G48008340,2020-2024,Texas,Anna ISD,8340,104989.0,13987.0
G48008400,2020-2024,Texas,Anson ISD,8400,53750.0,9268.0
G48008430,2020-2024,Texas,Anthony ISD,8430,56125.0,8703.0
G48008460,2020-2024,Texas,Anton ISD,8460,53375.0,12822.0
G48008490,2020-2024,Texas,Apple Springs ISD,8490,53563.0,16105.0
G48008520,2020-2024,Texas,Aquilla ISD,8520,76875.0,20471.0
G48008580,2020-2024,Texas,Aransas Pass ISD,8580,59583.0,6885.0
G48008610,2020-2024,Texas,Archer City ISD,8610,62917.0,12197.0
G48008670,2020-2024,Texas,Argyle ISD,8670,180095.0,14742.0
G48008700,2020-2024,Texas,Arlington ISD,8700,71274.0,1472.0
G48008730,2020-2024,Texas,Arp ISD,8730,69900.0,17593.0
G48000006,2020-2024,Texas,Aspermont ISD,6,56779.0,22663.0
G48008870,2020-2024,Texas,Athens ISD,8870,72118.0,5795.0
G48008880,2020-2024,Texas,Atlanta ISD,8880,64488.0,4848.0
G48008910,2020-2024,Texas,Aubrey ISD,8910,115470.0,8455.0
G48008940,2020-2024,Texas,Austin ISD,8940,92946.0,1834.0
G48009000,2020-2024,Texas,Austwell-Tivoli ISD,9000,68542.0,15655.0
G48009030,2020-2024,Texas,Avalon ISD,9030,84167.0,35627.0
G48009060,2020-2024,Texas,Avery ISD,9060,46500.0,3467.0
G48009090,2020-2024,Texas,Avinger ISD,9090,34345.0,13666.0
G48009150,2020-2024,Texas,Axtell ISD,9150,84769.0,11677.0
G48009200,2020-2024,Texas,Azle ISD,9200,91843.0,6447.0
G48009280,2020-2024,Texas,Baird ISD,9280,59219.0,15293.0
G48009300,2020-2024,Texas,Ballinger ISD,9300,62083.0,5656.0
G48009330,2020-2024,Texas,Balmorhea ISD,9330,,
G48009360,2020-2024,Texas,Bandera ISD,9360,75021.0,7414.0
G48009390,2020-2024,Texas,Bangs ISD,9390,60833.0,9682.0
G48009410,2020-2024,Texas,Banquete ISD,9410,84896.0,23271.0
G48009450,2020-2024,Texas,Barbers Hill ISD,9450,128353.0,14741.0
G48009540,2020-2024,Texas,Bartlett ISD,9540,72571.0,12754.0
G48009570,2020-2024,Texas,Bastrop ISD,9570,87946.0,6824.0
G48009630,2020-2024,Texas,Bay City ISD,9630,57915.0,6358.0
G48009670,2020-2024,Texas,Beaumont ISD,9670,57493.0,2819.0
G48009690,2020-2024,Texas,Beckville ISD,9690,88750.0,28284.0
G48009720,2020-2024,Texas,Beeville ISD,9720,58154.0,6184.0
G48009750,2020-2024,Texas,Bellevue ISD,9750,71304.0,12944.0
G48009780,2020-2024,Texas,Bells ISD,9780,92926.0,9909.0
G48009810,2020-2024,Texas,Bellville ISD,9810,98899.0,7995.0
