income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,is_sa_area
Abbott ISD,7380,2020-2024,Texas,88750.0,26095.0,ABBOTT ISD,109901,Spring 2026,351.0,318.0,90.5982905982906,False
Abernathy ISD,7410,2020-2024,Texas,83073.0,12492.0,ABERNATHY ISD,095901,Spring 2026,1109.0,916.0,82.59693417493237,False
Abilene ISD,7440,2020-2024,Texas,58822.0,1489.0,ABILENE ISD,221901,Spring 2026,18226.0,12139.0,66.60265554702075,False
Academy ISD,7470,2020-2024,Texas,95390.0,4391.0,ACADEMY ISD,014901,Spring 2026,2581.0,2099.0,81.32506780317706,False
Adrian ISD,7500,2020-2024,Texas,73125.0,24647.0,ADRIAN ISD,180903,Spring 2026,188.0,135.0,71.80851063829788,False
Agua Dulce ISD,7530,2020-2024,Texas,56786.0,24731.0,AGUA DULCE ISD,178901,Spring 2026,494.0,397.0,80.36437246963563,False
Alamo Heights ISD,7590,2020-2024,Texas,100268.0,10037.0,ALAMO HEIGHTS ISD,015901,Spring 2026,6318.0,5438.0,86.07154162709718,True
Alba-Golden ISD,7650,2020-2024,Texas,66000.0,14631.0,ALBA-GOLDEN ISD,250906,Spring 2026,1017.0,811.0,79.74434611602753,False
Albany ISD,7680,2020-2024,Texas,75057.0,12523.0,ALBANY ISD,209901,Spring 2026,573.0,464.0,80.97731239092496,False
Aldine ISD,7710,2020-2024,Texas,52455.0,1482.0,ALDINE ISD,101902,Spring 2026,67747.0,43557.0,64.29362185779443,False
Aledo ISD,7780,2020-2024,Texas,156900.0,10109.0,ALEDO ISD,184907,Spring 2026,11488.0,10452.0,90.98189415041784,False
Alice ISD,7800,2020-2024,Texas,49032.0,5774.0,ALICE ISD,125901,Spring 2026,5425.0,3911.0,72.09216589861751,False
Alief ISD,7830,2020-2024,Texas,51986.0,1770.0,ALIEF ISD,101903,Spring 2026,47845.0,29235.0,61.10356359076184,False
Allen ISD,7890,2020-2024,Texas,127415.0,8544.0,ALLEN ISD,043901,Spring 2026,27579.0,24476.0,88.74868559411146,False
Alpine ISD,7950,2020-2024,Texas,66613.0,14693.0,ALPINE ISD,022901,Spring 2026,1101.0,805.0,73.11534968210718,False
Alto ISD,7980,2020-2024,Texas,62955.0,26920.0,ALTO ISD,037901,Spring 2026,703.0,486.0,69.13229018492176,False
Alvarado ISD,11,2020-2024,Texas,80826.0,10732.0,ALVARADO ISD,126901,Spring 2026,4906.0,3406.0,69.42519364044027,False
Alvin ISD,8090,2020-2024,Texas,107257.0,7261.0,ALVIN ISD,020901,Spring 2026,40268.0,32358.0,80.35661070825469,False
Alvord ISD,8100,2020-2024,Texas,86250.0,26349.0,ALVORD ISD,249901,Spring 2026,1139.0,928.0,81.47497805092186,False
Amarillo ISD,8130,2020-2024,Texas,60371.0,2660.0,AMARILLO ISD,188901,Spring 2026,36137.0,27109.0,75.01729529291308,False
Amherst ISD,8160,2020-2024,Texas,64583.0,12768.0,AMHERST ISD,140901,Spring 2026,148.0,67.0,45.27027027027027,False
Anahuac ISD,8190,2020-2024,Texas,75500.0,16880.0,ANAHUAC ISD,036901,Spring 2026,2025.0,1389.0,68.5925925925926,False
Anderson-Shiro CISD,8230,2020-2024,Texas,99063.0,33249.0,ANDERSON-SHIRO CISD,093901,Spring 2026,1306.0,1096.0,83.92036753445635,False
Andrews ISD,8280,2020-2024,Texas,72242.0,9282.0,ANDREWS ISD,002901,Spring 2026,5681.0,4131.0,72.71607111424045,False
Angleton ISD,8310,2020-2024,Texas,86569.0,9989.0,ANGLETON ISD,020902,Spring 2026,9570.0,7146.0,74.67084639498432,False
Anna ISD,8340,2020-2024,Texas,104989.0,13987.0,ANNA ISD,043902,Spring 2026,8971.0,6105.0,68.05261397837477,False
Anson ISD,8400,2020-2024,Texas,53750.0,9268.0,ANSON ISD,127901,Spring 2026,833.0,590.0,70.82833133253301,False
Anthony ISD,8430,2020-2024,Texas,56125.0,8703.0,ANTHONY ISD,071906,Spring 2026,863.0,665.0,77.05677867902665,False
Anton ISD,8460,2020-2024,Texas,53375.0,12822.0,ANTON ISD,110901,Spring 2026,195.0,105.0,53.84615384615385,False
Apple Springs ISD,8490,2020-2024,Texas,53563.0,16105.0,APPLE SPRINGS ISD,228905,Spring 2026,220.0,145.0,65.9090909090909,False
Aquilla ISD,8520,2020-2024,Texas,76875.0,20471.0,AQUILLA ISD,109912,Spring 2026,437.0,335.0,76.65903890160183,False
Aransas Pass ISD,8580,2020-2024,Texas,59583.0,6885.0,ARANSAS PASS ISD,205901,Spring 2026,1972.0,1242.0,62.9817444219067,False
Archer City ISD,8610,2020-2024,Texas,62917.0,12197.0,ARCHER CITY ISD,005901,Spring 2026,634.0,573.0,90.37854889589906,False
Argyle ISD,8670,2020-2024,Texas,180095.0,14742.0,ARGYLE ISD,061910,Spring 2026,8898.0,8183.0,91.96448640143852,False
Arlington ISD,8700,2020-2024,Texas,71274.0,1472.0,ARLINGTON ISD,220901,Spring 2026,66396.0,44475.0,66.98445689499367,False
Arp ISD,8730,2020-2024,Texas,69900.0,17593.0,ARP ISD,212901,Spring 2026,1253.0,921.0,73.50359138068634,False
