income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Mumford ISD,31950,2020-2024,Texas,35724.0,18962.0,MUMFORD ISD,198906,Spring 2026,530.0,504.0,95.09433962264151,62.67570977088159,32.418629851759924,Elementary/middle,Over expected
Santa Gertrudis ISD,39300,2020-2024,Texas,53333.0,33960.0,SANTA GERTRUDIS ISD,137904,Spring 2026,577.0,524.0,90.81455805892548,66.1319383582258,24.68261970069969,Elementary/middle,Over expected
Canadian ISD,12700,2020-2024,Texas,61648.0,22191.0,CANADIAN ISD,106901,Spring 2026,596.0,537.0,90.1006711409396,67.76397542471265,22.33669571622694,Elementary/middle,Over expected
George West ISD,20550,2020-2024,Texas,56342.0,11929.0,GEORGE WEST ISD,149901,Spring 2026,1020.0,908.0,89.01960784313725,66.72253361175062,22.29707423138663,Elementary/middle,Over expected
Flatonia ISD,19280,2020-2024,Texas,75764.0,14291.0,FLATONIA ISD,075901,Spring 2026,570.0,528.0,92.63157894736842,70.53461105075337,22.096967896615055,Elementary/middle,Over expected
Roma ISD,37740,2020-2024,Texas,27843.0,4811.0,ROMA ISD,214903,Spring 2026,5354.0,4389.0,81.97609264101607,61.128856599386346,20.84723604162972,Elementary/middle,Over expected
Tidehaven ISD,42810,2020-2024,Texas,60908.0,14492.0,TIDEHAVEN ISD,158902,Spring 2026,935.0,821.0,87.80748663101605,67.61873099546428,20.18875563555177,Elementary/middle,Over expected
De Leon ISD,16440,2020-2024,Texas,56288.0,15850.0,DE LEON ISD,047902,Spring 2026,549.0,477.0,86.88524590163934,66.7119346939406,20.17331120769873,Elementary/middle,Over expected
Central Heights ISD,13440,2020-2024,Texas,63283.0,10030.0,CENTRAL HEIGHTS ISD,174908,Spring 2026,1082.0,954.0,88.17005545286506,68.08488710284928,20.085168350015778,Elementary/middle,Over expected
Seymour ISD,39780,2020-2024,Texas,45926.0,9489.0,SEYMOUR ISD,012901,Spring 2026,586.0,492.0,83.95904436860067,64.67812013195181,19.280924236648858,Elementary/middle,Over expected
Red Lick ISD,36630,2020-2024,Texas,102344.0,17145.0,RED LICK ISD,019911,Spring 2026,752.0,708.0,94.14893617021278,75.75163392835056,18.39730224186222,Elementary/middle,Over expected
Industrial ISD,24150,2020-2024,Texas,64919.0,15905.0,INDUSTRIAL ISD,120905,Spring 2026,1089.0,943.0,86.59320477502295,68.40599505724164,18.187209717781315,Elementary/middle,Over expected
Miles ISD,30750,2020-2024,Texas,83906.0,20083.0,MILES ISD,200902,Spring 2026,515.0,463.0,89.90291262135922,72.13269232499701,17.77022029636221,Elementary/middle,Over expected
Randolph Field ISD,36450,2020-2024,Texas,113250.0,22031.0,RANDOLPH FIELD ISD,015906,Spring 2026,1347.0,1279.0,94.9517446176689,77.89222277346249,17.0595218442064,Elementary/middle,Over expected
Shiner ISD,40110,2020-2024,Texas,90438.0,17750.0,SHINER ISD,143903,Spring 2026,709.0,640.0,90.26798307475318,73.41476882749758,16.853214247255593,Elementary/middle,Over expected
Dublin ISD,17580,2020-2024,Texas,66344.0,18030.0,DUBLIN ISD,072902,Spring 2026,1025.0,876.0,85.46341463414635,68.68568872167263,16.777725912473713,Elementary/middle,Over expected
