income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Keene ISD,25230,2020-2024,Texas,53352.0,14140.0,KEENE ISD,126906,Spring 2026,502,460.0,91.63346613545816,77.73052458331983,13.90294155213833,EOC,Over expected
Canton ISD,12750,2020-2024,Texas,65671.0,11665.0,CANTON ISD,234902,Spring 2026,862,803.0,93.15545243619488,79.69899130141062,13.456461134784263,EOC,Over expected
Carthage ISD,13110,2020-2024,Texas,63860.0,13270.0,CARTHAGE ISD,183902,Spring 2026,921,849.0,92.18241042345277,79.4096095962022,12.772800827250563,EOC,Over expected
Mineola ISD,30930,2020-2024,Texas,59063.0,7325.0,MINEOLA ISD,250903,Spring 2026,639,582.0,91.07981220657275,78.64309162829235,12.4367205782804,EOC,Over expected
Fort Sam Houston ISD,20160,2020-2024,Texas,100662.0,21360.0,FT SAM HOUSTON ISD,015914,Spring 2026,535,522.0,97.57009345794393,85.29024212799676,12.279851329947164,EOC,Over expected
Pottsboro ISD,35580,2020-2024,Texas,79710.0,10159.0,POTTSBORO ISD,091913,Spring 2026,528,495.0,93.75,81.94229873344865,11.807701266551348,EOC,Over expected
College Station ISD,7350,2020-2024,Texas,54117.0,3269.0,COLLEGE STATION ISD,021901,Spring 2026,5613,5031.0,89.63121325494387,77.85276478458125,11.778448470362619,EOC,Over expected
Hudson ISD,23790,2020-2024,Texas,61023.0,10338.0,HUDSON ISD,003902,Spring 2026,1023,924.0,90.32258064516128,78.956282209302,11.366298435859278,EOC,Over expected
Bishop CISD,10260,2020-2024,Texas,66813.0,13392.0,BISHOP CISD,178902,Spring 2026,698,635.0,90.97421203438395,79.88147275218257,11.092739282201379,EOC,Over expected
Iowa Park CISD,24260,2020-2024,Texas,75323.0,14316.0,IOWA PARK CISD,243903,Spring 2026,652,601.0,92.17791411042946,81.2412951217704,10.936618988659049,EOC,Over expected
Edna ISD,18210,2020-2024,Texas,63014.0,6974.0,EDNA ISD,120901,Spring 2026,518,467.0,90.15444015444017,79.27442631480722,10.880013839632952,EOC,Over expected
Glen Rose ISD,20850,2020-2024,Texas,82353.0,23559.0,GLEN ROSE ISD,213901,Spring 2026,677,631.0,93.205317577548,82.3646266444734,10.840690933074598,EOC,Over expected
Roma ISD,37740,2020-2024,Texas,27843.0,4811.0,ROMA ISD,214903,Spring 2026,2462,2074.0,84.24045491470349,73.65441308792427,10.586041826779223,EOC,Over expected
Mathis ISD,29400,2020-2024,Texas,45367.0,10514.0,MATHIS ISD,205904,Spring 2026,510,443.0,86.86274509803921,76.454592547931,10.408152550108213,EOC,Over expected
Early ISD,17790,2020-2024,Texas,77661.0,19935.0,EARLY ISD,025909,Spring 2026,506,465.0,91.89723320158105,81.61488674340336,10.282346458177685,EOC,Over expected
Huntington ISD,24000,2020-2024,Texas,63485.0,9818.0,HUNTINGTON ISD,003904,Spring 2026,571,511.0,89.49211908931699,79.34968792891719,10.142431160399795,EOC,Over expected
Hillsboro ISD,23280,2020-2024,Texas,59048.0,9012.0,HILLSBORO ISD,109904,Spring 2026,711,631.0,88.74824191279887,78.64069476160095,10.10754715119792,EOC,Over expected
Pittsburg ISD,35010,2020-2024,Texas,59172.0,8002.0,PITTSBURG ISD,032902,Spring 2026,804,713.0,88.68159203980099,78.66050885958319,10.0210831802178,EOC,Over expected
Whitney ISD,45720,2020-2024,Texas,54045.0,5196.0,WHITNEY ISD,109911,Spring 2026,522,458.0,87.73946360153256,77.84125982446253,9.898203777070037,EOC,Over expected
Clyde CISD,14450,2020-2024,Texas,78981.0,11435.0,CLYDE CISD,030902,Spring 2026,564,516.0,91.48936170212764,81.82581101224659,9.663550689881049,EOC,Over expected
Franklin ISD,19740,2020-2024,Texas,101875.0,18250.0,FRANKLIN ISD,198903,Spring 2026,534,507.0,94.9438202247191,85.48406874777467,9.459751476944433,EOC,Over expected
Jim Ned CISD,24780,2020-2024,Texas,94219.0,20160.0,JIM NED CISD,221911,Spring 2026,571,535.0,93.6952714535902,84.2607079884839,9.434563465106294,EOC,Over expected
Needville ISD,32310,2020-2024,Texas,92120.0,18264.0,NEEDVILLE ISD,079906,Spring 2026,1461,1362.0,93.22381930184804,83.9253064428006,9.298512859047435,EOC,Over expected
Stephenville ISD,41520,2020-2024,Texas,59152.0,4076.0,STEPHENVILLE ISD,072903,Spring 2026,1394,1220.0,87.51793400286944,78.657313037328,8.860620965541443,EOC,Over expected
Midway ISD (McLennan County),30640,2020-2024,Texas,95241.0,7603.0,MIDWAY ISD,161903,Spring 2026,3319,3096.0,93.28110876770111,84.42401450572464,8.85709426197647,EOC,Over expected
Flour Bluff ISD,19380,2020-2024,Texas,92182.0,8117.0,FLOUR BLUFF ISD,178914,Spring 2026,2324,2154.0,92.68502581755594,83.93521349179173,8.74981232576421,EOC,Over expected
