district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
ABBOTT ISD,109901,Spring 2026,242.0,214.0,88.42975206611571
ABERNATHY ISD,095901,Spring 2026,807.0,646.0,80.04956629491944
ABILENE ISD,221901,Spring 2026,13079.0,8052.0,61.56433978132885
ACADEMY ISD,014901,Spring 2026,1892.0,1476.0,78.01268498942918
ADRIAN ISD,180903,Spring 2026,133.0,84.0,63.1578947368421
AGUA DULCE ISD,178901,Spring 2026,346.0,264.0,76.30057803468208
ALAMO HEIGHTS ISD,015901,Spring 2026,4302.0,3587.0,83.37982333798233
ALBA-GOLDEN ISD,250906,Spring 2026,724.0,555.0,76.65745856353591
ALBANY ISD,209901,Spring 2026,423.0,337.0,79.66903073286052
ALDINE ISD,101902,Spring 2026,46029.0,27273.0,59.25177605422668
ALEDO ISD,184907,Spring 2026,8378.0,7491.0,89.41274767247553
ALICE ISD,125901,Spring 2026,3816.0,2570.0,67.34800838574424
ALIEF ISD,101903,Spring 2026,32647.0,18620.0,57.0343369988054
ALLEN ISD,043901,Spring 2026,19143.0,16567.0,86.54338400459697
ALPINE ISD,022901,Spring 2026,813.0,539.0,66.29766297662977
ALTO ISD,037901,Spring 2026,493.0,322.0,65.31440162271805
ALVARADO ISD,126901,Spring 2026,3427.0,2162.0,63.08724832214765
ALVIN ISD,020901,Spring 2026,28032.0,21683.0,77.35088470319634
ALVORD ISD,249901,Spring 2026,837.0,655.0,78.25567502986857
AMARILLO ISD,188901,Spring 2026,25579.0,18362.0,71.78544900113374
AMHERST ISD,140901,Spring 2026,97.0,34.0,35.051546391752574
ANAHUAC ISD,036901,Spring 2026,1449.0,920.0,63.49206349206349
ANDERSON-SHIRO CISD,093901,Spring 2026,947.0,785.0,82.89334741288279
ANDREWS ISD,002901,Spring 2026,4066.0,2801.0,68.88834235120511
ANGLETON ISD,020902,Spring 2026,6485.0,4634.0,71.45720894371627
ANNA ISD,043902,Spring 2026,6466.0,4095.0,63.33127126507887
ANSON ISD,127901,Spring 2026,625.0,416.0,66.56
ANTHONY ISD,071906,Spring 2026,573.0,416.0,72.6003490401396
ANTON ISD,110901,Spring 2026,137.0,61.0,44.52554744525548
APPLE SPRINGS ISD,228905,Spring 2026,153.0,90.0,58.82352941176471
AQUILLA ISD,109912,Spring 2026,281.0,197.0,70.1067615658363
ARANSAS PASS ISD,205901,Spring 2026,1399.0,770.0,55.03931379556827
ARCHER CITY ISD,005901,Spring 2026,468.0,420.0,89.74358974358975
ARGYLE ISD,061910,Spring 2026,6605.0,5982.0,90.56775170325511
