district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
ABBOTT ISD,109901,Spring 2026,109,104.0,95.41284403669725
ABERNATHY ISD,095901,Spring 2026,302,270.0,89.40397350993378
ABILENE ISD,221901,Spring 2026,5147,4087.0,79.40547891975909
ACADEMY ISD,014901,Spring 2026,689,623.0,90.42089985486213
ADRIAN ISD,180903,Spring 2026,55,51.0,92.72727272727272
AGUA DULCE ISD,178901,Spring 2026,148,133.0,89.86486486486487
ALAMO HEIGHTS ISD,015901,Spring 2026,2016,1851.0,91.81547619047619
ALBA-GOLDEN ISD,250906,Spring 2026,293,256.0,87.37201365187714
ALBANY ISD,209901,Spring 2026,150,127.0,84.66666666666667
ALDINE ISD,101902,Spring 2026,21718,16284.0,74.97927986002394
ALEDO ISD,184907,Spring 2026,3110,2961.0,95.20900321543408
ALICE ISD,125901,Spring 2026,1609,1341.0,83.34369173399627
ALIEF ISD,101903,Spring 2026,15198,10615.0,69.84471641005395
ALLEN ISD,043901,Spring 2026,8436,7909.0,93.7529634898056
ALPINE ISD,022901,Spring 2026,288,266.0,92.36111111111111
ALTO ISD,037901,Spring 2026,210,164.0,78.0952380952381
ALVARADO ISD,126901,Spring 2026,1479,1244.0,84.1108857336038
ALVIN ISD,020901,Spring 2026,12236,10675.0,87.24256292906179
ALVORD ISD,249901,Spring 2026,302,273.0,90.39735099337747
AMARILLO ISD,188901,Spring 2026,10558,8747.0,82.84713013828376
AMHERST ISD,140901,Spring 2026,51,33.0,64.70588235294117
ANAHUAC ISD,036901,Spring 2026,576,469.0,81.42361111111111
ANDERSON-SHIRO CISD,093901,Spring 2026,359,311.0,86.62952646239555
ANDREWS ISD,002901,Spring 2026,1615,1330.0,82.35294117647058
ANGLETON ISD,020902,Spring 2026,3085,2512.0,81.42625607779578
ANNA ISD,043902,Spring 2026,2505,2010.0,80.23952095808383
ANSON ISD,127901,Spring 2026,208,174.0,83.65384615384616
ANTHONY ISD,071906,Spring 2026,290,249.0,85.86206896551725
ANTON ISD,110901,Spring 2026,58,44.0,75.86206896551724
APPLE SPRINGS ISD,228905,Spring 2026,67,55.0,82.08955223880598
AQUILLA ISD,109912,Spring 2026,156,138.0,88.46153846153845
ARANSAS PASS ISD,205901,Spring 2026,573,472.0,82.37347294938918
ARCHER CITY ISD,005901,Spring 2026,166,153.0,92.16867469879519
ARGYLE ISD,061910,Spring 2026,2293,2201.0,95.98778892280855
ARLINGTON ISD,220901,Spring 2026,22208,16387.0,73.78872478386167
ARP ISD,212901,Spring 2026,380,310.0,81.57894736842105
ASPERMONT ISD,217901,Spring 2026,76,73.0,96.05263157894737
ATHENS ISD,107901,Spring 2026,1267,923.0,72.8492501973165
ATLANTA ISD,034901,Spring 2026,654,556.0,85.01529051987767
AUBREY ISD,061907,Spring 2026,1753,1445.0,82.43011979463776
AUSTIN ISD,227901,Spring 2026,26521,20936.0,78.94121639455525
AUSTWELL-TIVOLI ISD,196901,Spring 2026,45,37.0,82.22222222222221
AVALON ISD,070901,Spring 2026,90,78.0,86.66666666666667
AVERY ISD,194902,Spring 2026,119,111.0,93.27731092436974
AVINGER ISD,034902,Spring 2026,42,37.0,88.09523809523809
AXTELL ISD,161918,Spring 2026,379,296.0,78.10026385224275
AZLE ISD,220915,Spring 2026,2858,2397.0,83.86983904828551
BAIRD ISD,030903,Spring 2026,86,79.0,91.86046511627907
BALLINGER ISD,200901,Spring 2026,344,271.0,78.77906976744185
BALMORHEA ISD,195902,Spring 2026,58,54.0,93.10344827586206
BANDERA ISD,010902,Spring 2026,850,709.0,83.41176470588235
BANGS ISD,025901,Spring 2026,269,229.0,85.13011152416357
BANQUETE ISD,178913,Spring 2026,260,224.0,86.15384615384616
BARBERS HILL ISD,036902,Spring 2026,3051,2841.0,93.11701081612586
BARTLETT ISD,014902,Spring 2026,170,117.0,68.82352941176471
BASTROP ISD,011901,Spring 2026,5929,4251.0,71.69843143869117
BAY CITY ISD,158901,Spring 2026,1298,1039.0,80.0462249614792
BEAUMONT ISD,123910,Spring 2026,6248,4537.0,72.61523687580026
BECKVILLE ISD,183901,Spring 2026,238,225.0,94.53781512605042
BEEVILLE ISD,013901,Spring 2026,1150,898.0,78.08695652173913
BELLEVUE ISD,039904,Spring 2026,60,56.0,93.33333333333333
BELLS ISD,091901,Spring 2026,383,360.0,93.99477806788512
BELLVILLE ISD,008901,Spring 2026,1017,858.0,84.36578171091446
BELTON ISD,014903,Spring 2026,5594,4871.0,87.07543796925276
BEN BOLT-PALITO BLANCO ISD,125902,Spring 2026,148,121.0,81.75675675675676
BENAVIDES ISD,066901,Spring 2026,68,62.0,91.17647058823529
BENJAMIN ISD,138904,Spring 2026,33,25.0,75.75757575757575
BIG SANDY ISD,187901,Spring 2026,199,187.0,93.96984924623115
BIG SANDY ISD,230901,Spring 2026,258,221.0,85.65891472868216
BIG SPRING ISD,114901,Spring 2026,1099,869.0,79.07188353048225
BIRDVILLE ISD,220902,Spring 2026,8919,7392.0,82.87924655230407
BISHOP CISD,178902,Spring 2026,698,635.0,90.97421203438395
BLACKWELL CISD,177903,Spring 2026,44,43.0,97.72727272727273
BLANCO ISD,016902,Spring 2026,464,417.0,89.87068965517241
BLAND ISD,116915,Spring 2026,298,257.0,86.24161073825503
BLANKET ISD,025904,Spring 2026,54,44.0,81.48148148148148
BLOOMBURG ISD,034909,Spring 2026,78,68.0,87.17948717948718
BLOOMING GROVE ISD,175902,Spring 2026,402,356.0,88.55721393034825
BLOOMINGTON ISD,235901,Spring 2026,291,215.0,73.8831615120275
BLUE RIDGE ISD,043917,Spring 2026,432,359.0,83.10185185185185
BLUFF DALE ISD,072904,Spring 2026,110,93.0,84.54545454545455
BLUM ISD,109913,Spring 2026,138,126.0,91.30434782608695
BOERNE ISD,130901,Spring 2026,4470,4188.0,93.69127516778524
BOLES ISD,116916,Spring 2026,226,199.0,88.05309734513274
BOLING ISD,241901,Spring 2026,451,395.0,87.58314855875831
BONHAM ISD,074903,Spring 2026,759,544.0,71.67325428194994
BOOKER ISD,148901,Spring 2026,123,120.0,97.5609756097561
BORDEN COUNTY ISD,017901,Spring 2026,76,72.0,94.73684210526315
BORGER ISD,117901,Spring 2026,868,722.0,83.17972350230414
BOSQUEVILLE ISD,161923,Spring 2026,280,232.0,82.85714285714286
BOVINA ISD,185901,Spring 2026,163,120.0,73.61963190184049
BOWIE ISD,169901,Spring 2026,572,468.0,81.81818181818183
BOYD ISD,249902,Spring 2026,586,509.0,86.86006825938567
