district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
ABBOTT ISD,109901,Spring 2026,351.0,318.0,90.5982905982906
ABERNATHY ISD,095901,Spring 2026,1109.0,916.0,82.59693417493237
ABILENE ISD,221901,Spring 2026,18226.0,12139.0,66.60265554702075
ACADEMY ISD,014901,Spring 2026,2581.0,2099.0,81.32506780317706
ADRIAN ISD,180903,Spring 2026,188.0,135.0,71.80851063829788
AGUA DULCE ISD,178901,Spring 2026,494.0,397.0,80.36437246963563
ALAMO HEIGHTS ISD,015901,Spring 2026,6318.0,5438.0,86.07154162709718
ALBA-GOLDEN ISD,250906,Spring 2026,1017.0,811.0,79.74434611602753
ALBANY ISD,209901,Spring 2026,573.0,464.0,80.97731239092496
ALDINE ISD,101902,Spring 2026,67747.0,43557.0,64.29362185779443
ALEDO ISD,184907,Spring 2026,11488.0,10452.0,90.98189415041783
ALICE ISD,125901,Spring 2026,5425.0,3911.0,72.09216589861751
ALIEF ISD,101903,Spring 2026,47845.0,29235.0,61.10356359076184
ALLEN ISD,043901,Spring 2026,27579.0,24476.0,88.74868559411146
ALPINE ISD,022901,Spring 2026,1101.0,805.0,73.11534968210718
ALTO ISD,037901,Spring 2026,703.0,486.0,69.13229018492176
ALVARADO ISD,126901,Spring 2026,4906.0,3406.0,69.42519364044027
ALVIN ISD,020901,Spring 2026,40268.0,32358.0,80.35661070825469
ALVORD ISD,249901,Spring 2026,1139.0,928.0,81.47497805092186
AMARILLO ISD,188901,Spring 2026,36137.0,27109.0,75.01729529291308
AMHERST ISD,140901,Spring 2026,148.0,67.0,45.27027027027027
ANAHUAC ISD,036901,Spring 2026,2025.0,1389.0,68.5925925925926
ANDERSON-SHIRO CISD,093901,Spring 2026,1306.0,1096.0,83.92036753445635
ANDREWS ISD,002901,Spring 2026,5681.0,4131.0,72.71607111424045
ANGLETON ISD,020902,Spring 2026,9570.0,7146.0,74.67084639498432
ANNA ISD,043902,Spring 2026,8971.0,6105.0,68.05261397837477
ANSON ISD,127901,Spring 2026,833.0,590.0,70.82833133253301
ANTHONY ISD,071906,Spring 2026,863.0,665.0,77.05677867902665
ANTON ISD,110901,Spring 2026,195.0,105.0,53.84615384615385
APPLE SPRINGS ISD,228905,Spring 2026,220.0,145.0,65.9090909090909
AQUILLA ISD,109912,Spring 2026,437.0,335.0,76.65903890160183
ARANSAS PASS ISD,205901,Spring 2026,1972.0,1242.0,62.9817444219067
ARCHER CITY ISD,005901,Spring 2026,634.0,573.0,90.37854889589906
ARGYLE ISD,061910,Spring 2026,8898.0,8183.0,91.96448640143853
ARLINGTON ISD,220901,Spring 2026,66396.0,44475.0,66.98445689499367
ARP ISD,212901,Spring 2026,1253.0,921.0,73.50359138068634
ASPERMONT ISD,217901,Spring 2026,244.0,215.0,88.11475409836066
ATHENS ISD,107901,Spring 2026,3982.0,2581.0,64.81667503766951
ATLANTA ISD,034901,Spring 2026,2553.0,1976.0,77.39913826870348
AUBREY ISD,061907,Spring 2026,6484.0,4693.0,72.3781616286243
AUSTIN ISD,227901,Spring 2026,86873.0,63200.0,72.74987625614403
AUSTWELL-TIVOLI ISD,196901,Spring 2026,147.0,103.0,70.06802721088435
AVALON ISD,070901,Spring 2026,397.0,269.0,67.75818639798489
AVERY ISD,194902,Spring 2026,341.0,285.0,83.57771260997067
AVINGER ISD,034902,Spring 2026,140.0,107.0,76.42857142857142
AXTELL ISD,161918,Spring 2026,1158.0,893.0,77.11571675302245
AZLE ISD,220915,Spring 2026,9665.0,7115.0,73.6161407139162
BAIRD ISD,030903,Spring 2026,395.0,286.0,72.40506329113924
BALLINGER ISD,200901,Spring 2026,1036.0,693.0,66.8918918918919
BALMORHEA ISD,195902,Spring 2026,190.0,131.0,68.94736842105263
BANDERA ISD,010902,Spring 2026,2939.0,2146.0,73.01803334467506
BANGS ISD,025901,Spring 2026,1060.0,786.0,74.15094339622641
BANQUETE ISD,178913,Spring 2026,950.0,696.0,73.26315789473684
BARBERS HILL ISD,036902,Spring 2026,10700.0,9732.0,90.95327102803739
BARTLETT ISD,014902,Spring 2026,536.0,302.0,56.343283582089555
BASTROP ISD,011901,Spring 2026,17652.0,10793.0,61.14321323362791
BAY CITY ISD,158901,Spring 2026,4323.0,2926.0,67.68447837150127
BEAUMONT ISD,123910,Spring 2026,19543.0,11025.0,56.414061300721485
BECKVILLE ISD,183901,Spring 2026,852.0,701.0,82.27699530516432
BEEVILLE ISD,013901,Spring 2026,3834.0,2563.0,66.84924360980699
BELLEVUE ISD,039904,Spring 2026,264.0,222.0,84.0909090909091
BELLS ISD,091901,Spring 2026,1371.0,1216.0,88.6943836615609
BELLVILLE ISD,008901,Spring 2026,3184.0,2378.0,74.6859296482412
BELTON ISD,014903,Spring 2026,18465.0,13695.0,74.16734362307066
BEN BOLT-PALITO BLANCO ISD,125902,Spring 2026,602.0,463.0,76.91029900332225
BENAVIDES ISD,066901,Spring 2026,197.0,136.0,69.03553299492386
BENJAMIN ISD,138904,Spring 2026,125.0,99.0,79.2
BIG SANDY ISD,187901,Spring 2026,695.0,600.0,86.33093525179856
BIG SANDY ISD,230901,Spring 2026,874.0,610.0,69.79405034324942
BIG SPRING ISD,114901,Spring 2026,3767.0,2664.0,70.7194053623573
BIRDVILLE ISD,220902,Spring 2026,28469.0,21417.0,75.22919667006217
BISHOP CISD,178902,Spring 2026,1995.0,1683.0,84.3609022556391
BLACKWELL CISD,177903,Spring 2026,233.0,216.0,92.7038626609442
BLANCO ISD,016902,Spring 2026,1473.0,1161.0,78.81873727087576
BLAND ISD,116915,Spring 2026,1029.0,838.0,81.4382896015549
BLANKET ISD,025904,Spring 2026,176.0,121.0,68.75
BLOOMBURG ISD,034909,Spring 2026,257.0,179.0,69.64980544747081
BLOOMING GROVE ISD,175902,Spring 2026,1330.0,1000.0,75.18796992481202
BLOOMINGTON ISD,235901,Spring 2026,993.0,549.0,55.2870090634441
BLUE RIDGE ISD,043917,Spring 2026,1433.0,1065.0,74.31960921144453
BLUFF DALE ISD,072904,Spring 2026,326.0,274.0,84.04907975460122
BLUM ISD,109913,Spring 2026,471.0,378.0,80.2547770700637
BOERNE ISD,130901,Spring 2026,15251.0,13505.0,88.55157038882696
BOLES ISD,116916,Spring 2026,721.0,546.0,75.72815533980582
BOLING ISD,241901,Spring 2026,1509.0,1145.0,75.8780649436713
BONHAM ISD,074903,Spring 2026,2418.0,1562.0,64.59884201819686
BOOKER ISD,148901,Spring 2026,412.0,343.0,83.25242718446601
BORDEN COUNTY ISD,017901,Spring 2026,286.0,255.0,89.16083916083916
BORGER ISD,117901,Spring 2026,2877.0,2053.0,71.3590545707334
BOSQUEVILLE ISD,161923,Spring 2026,1012.0,782.0,77.27272727272727
BOVINA ISD,185901,Spring 2026,494.0,307.0,62.145748987854255
BOWIE ISD,169901,Spring 2026,1969.0,1505.0,76.43473844591163
BOYD ISD,249902,Spring 2026,1944.0,1443.0,74.22839506172839
BOYS RANCH ISD,180901,Spring 2026,347.0,218.0,62.824207492795395
BRACKETT ISD,136901,Spring 2026,621.0,479.0,77.13365539452496
BRADY ISD,160901,Spring 2026,1059.0,818.0,77.24268177525968
BRAZOS ISD,008903,Spring 2026,1118.0,938.0,83.89982110912342
BRAZOSPORT ISD,020905,Spring 2026,14230.0,10411.0,73.16233309908644
BRECKENRIDGE ISD,215901,Spring 2026,1645.0,1248.0,75.86626139817629
BREMOND ISD,198901,Spring 2026,654.0,570.0,87.1559633027523
