income_district,tea_district_id,note
Big Sandy ISD (Polk County),187901,Resolved using TEA district list: Big Sandy ISD 187 901
Big Sandy ISD (Upshur and Wood Counties),230901,Resolved using TEA district list: Big Sandy ISD 230 901
Centerville ISD (Leon County),145902,Resolved using TEA district list: Centerville ISD 145 902
Centerville ISD (Trinity County),228904,Resolved using TEA district list: Centerville ISD 228 904
Chapel Hill ISD (Smith County),212909,Resolved using TEA district list: Chapel Hill ISD 212 909
Chapel Hill ISD (Titus County),225906,Resolved using TEA district list: Chapel Hill ISD 225 906
"Dawson ISD (Dawson, Lynn, and Terry Counties)",058902,Resolved using TEA district list: Dawson 058 902
Dawson ISD (Hill and Navarro Counties),175904,Resolved using TEA district list: Dawson ISD 175 904
Edgewood ISD (Bexar County),015905,Resolved using TEA district list: Edgewood ISD 015 905
Edgewood ISD (Van Zandt County),234903,Resolved using TEA district list: Edgewood ISD 234 903
Highland Park ISD (Dallas County),057911,Resolved using TEA district list: Highland Park ISD 057 911
Highland Park ISD (Potter County),188903,Resolved using TEA district list: Highland Park ISD 188 903
Hubbard ISD (Bowie County),019913,Resolved using TEA district list: Hubbard ISD 019 913
"Hubbard ISD (Hill, Limestone, and Navarro Counties)",109905,Resolved using TEA district list: Hubbard ISD 109 905
Midway ISD (Clay and Jack Counties),039905,Resolved using TEA district list: Midway ISD 039 905
Midway ISD (McLennan County),161903,Resolved using TEA district list: Midway ISD 161 903
"Northside ISD (Bandera, Bexar, and Medina Counties)",015915,Resolved using TEA district list: Northside ISD 015 915
Northside ISD (Wilbarger County),244905,Resolved using TEA district list: Northside ISD 244 905
Valley View ISD (Cooke County),049903,Resolved using TEA district list: Valley View ISD 049 903
Valley View ISD (Hidalgo County),108916,Resolved using TEA district list: Valley View ISD 108 916
Wylie ISD (Collin County),043914,Resolved using TEA district list: Wylie ISD 043 914
Wylie ISD (Taylor County),221912,Resolved using TEA district list: Wylie ISD 221 912
