GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNI,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AURUE001,NAME_M,AURUM001
G48000001,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Crosbyton Consolidated Independent School District,1,,,9700000US4800001,,,4800001,"Crosbyton Consolidated Independent School District, Texas",49135,"Crosbyton Consolidated Independent School District, Texas",15096
G48000002,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Spur Independent School District,2,,,9700000US4800002,,,4800002,"Spur Independent School District, Texas",48836,"Spur Independent School District, Texas",7517
G48000003,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Rocksprings Independent School District,3,,,9700000US4800003,,,4800003,"Rocksprings Independent School District, Texas",38487,"Rocksprings Independent School District, Texas",24116
G48000005,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blackwell Consolidated Independent School District,5,,,9700000US4800005,,,4800005,"Blackwell Consolidated Independent School District, Texas",63942,"Blackwell Consolidated Independent School District, Texas",9982
G48000006,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aspermont Independent School District,6,,,9700000US4800006,,,4800006,"Aspermont Independent School District, Texas",56779,"Aspermont Independent School District, Texas",22663
G48000007,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Panther Creek Consolidated Independent School District,7,,,9700000US4800007,,,4800007,"Panther Creek Consolidated Independent School District, Texas",61583,"Panther Creek Consolidated Independent School District, Texas",7977
G48000008,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Dripping Springs Independent School District,8,,,9700000US4800008,,,4800008,"Dripping Springs Independent School District, Texas",169874,"Dripping Springs Independent School District, Texas",15997
G48000009,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Wimberley Independent School District,9,,,9700000US4800009,,,4800009,"Wimberley Independent School District, Texas",82389,"Wimberley Independent School District, Texas",14995
G48000010,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Hays Consolidated Independent School District,10,,,9700000US4800010,,,4800010,"Hays Consolidated Independent School District, Texas",101693,"Hays Consolidated Independent School District, Texas",4474
G48000011,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alvarado Independent School District,11,,,9700000US4800011,,,4800011,"Alvarado Independent School District, Texas",80826,"Alvarado Independent School District, Texas",10732
G48000012,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Chisum Independent School District,12,,,9700000US4800012,,,4800012,"Chisum Independent School District, Texas",105000,"Chisum Independent School District, Texas",31854
G48007350,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,College Station Independent School District,7350,,,9700000US4807350,,,4807350,"College Station Independent School District, Texas",54117,"College Station Independent School District, Texas",3269
G48007380,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Abbott Independent School District,7380,,,9700000US4807380,,,4807380,"Abbott Independent School District, Texas",88750,"Abbott Independent School District, Texas",26095
G48007410,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Abernathy Independent School District,7410,,,9700000US4807410,,,4807410,"Abernathy Independent School District, Texas",83073,"Abernathy Independent School District, Texas",12492
G48007440,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Abilene Independent School District,7440,,,9700000US4807440,,,4807440,"Abilene Independent School District, Texas",58822,"Abilene Independent School District, Texas",1489
G48007470,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Academy Independent School District,7470,,,9700000US4807470,,,4807470,"Academy Independent School District, Texas",95390,"Academy Independent School District, Texas",4391
G48007500,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Adrian Independent School District,7500,,,9700000US4807500,,,4807500,"Adrian Independent School District, Texas",73125,"Adrian Independent School District, Texas",24647
G48007530,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Agua Dulce Independent School District,7530,,,9700000US4807530,,,4807530,"Agua Dulce Independent School District, Texas",56786,"Agua Dulce Independent School District, Texas",24731
G48007590,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alamo Heights Independent School District,7590,,,9700000US4807590,,,4807590,"Alamo Heights Independent School District, Texas",100268,"Alamo Heights Independent School District, Texas",10037
G48007650,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alba-Golden Independent School District,7650,,,9700000US4807650,,,4807650,"Alba-Golden Independent School District, Texas",66000,"Alba-Golden Independent School District, Texas",14631
G48007680,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Albany Independent School District,7680,,,9700000US4807680,,,4807680,"Albany Independent School District, Texas",75057,"Albany Independent School District, Texas",12523
G48007710,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aldine Independent School District,7710,,,9700000US4807710,,,4807710,"Aldine Independent School District, Texas",52455,"Aldine Independent School District, Texas",1482
G48007780,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aledo Independent School District,7780,,,9700000US4807780,,,4807780,"Aledo Independent School District, Texas",156900,"Aledo Independent School District, Texas",10109
G48007800,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alice Independent School District,7800,,,9700000US4807800,,,4807800,"Alice Independent School District, Texas",49032,"Alice Independent School District, Texas",5774
G48007830,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alief Independent School District,7830,,,9700000US4807830,,,4807830,"Alief Independent School District, Texas",51986,"Alief Independent School District, Texas",1770
G48007890,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Allen Independent School District,7890,,,9700000US4807890,,,4807890,"Allen Independent School District, Texas",127415,"Allen Independent School District, Texas",8544
G48007950,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alpine Independent School District,7950,,,9700000US4807950,,,4807950,"Alpine Independent School District, Texas",66613,"Alpine Independent School District, Texas",14693
G48007980,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alto Independent School District,7980,,,9700000US4807980,,,4807980,"Alto Independent School District, Texas",62955,"Alto Independent School District, Texas",26920
G48008090,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alvin Independent School District,8090,,,9700000US4808090,,,4808090,"Alvin Independent School District, Texas",107257,"Alvin Independent School District, Texas",7261
G48008100,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Alvord Independent School District,8100,,,9700000US4808100,,,4808100,"Alvord Independent School District, Texas",86250,"Alvord Independent School District, Texas",26349
G48008130,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Amarillo Independent School District,8130,,,9700000US4808130,,,4808130,"Amarillo Independent School District, Texas",60371,"Amarillo Independent School District, Texas",2660
G48008160,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Amherst Independent School District,8160,,,9700000US4808160,,,4808160,"Amherst Independent School District, Texas",64583,"Amherst Independent School District, Texas",12768
G48008190,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anahuac Independent School District,8190,,,9700000US4808190,,,4808190,"Anahuac Independent School District, Texas",75500,"Anahuac Independent School District, Texas",16880
G48008230,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anderson-Shiro Consolidated Independent School District,8230,,,9700000US4808230,,,4808230,"Anderson-Shiro Consolidated Independent School District, Texas",99063,"Anderson-Shiro Consolidated Independent School District, Texas",33249
